id,name,type,production,year,sex,birth,ethnicity,frequency
1stToDie,1st to Die,0,5,3,99,99,99,99
300RiseOfAnEmpire,300: Rise of an Empire,0,5,4,99,99,99,99
AWalkToRemember,A Walk to Remember,0,5,3,99,99,99,99
BeautifulGirls,Beautiful Girls,0,1,2,99,99,99,99
BladeRunner,Blade Runner,0,5,1,99,99,99,99
ChelseaWalls,Chelsea Walls,0,5,3,99,99,99,99
DarkSummer,Dark Summer,0,5,3,99,99,99,99
DevilsAdvocate,Devils Advocate,0,5,2,99,99,99,99
DrJekyllAndMsHyde,Dr Jekyll and Ms Hyde,0,5,2,99,99,99,99
EvenCowgirlsGetTheBlues,Even Cowgirls Get the Blues,0,5,2,99,99,99,99
Gossip,Gossip,0,5,3,99,99,99,99
HannahDaryl,Daryl Hannah,1,99,99,1,1,7,2
HeadeyLena,Lena Headey,1,99,99,1,3,2,2
KillBillVol1,Kill Bill: Vol. 1,0,1,3,99,99,99,99
NielsenConnie,Connie Nielsen,1,99,99,1,2,2,2
NymphomaniacVol1,Nymphomaniac: Vol. 1,0,5,4,99,99,99,99
PerfectSense,Perfect Sense,0,5,4,99,99,99,99
Possession,Possession,0,5,3,99,99,99,99
PulpFiction,Pulp Fiction,0,1,2,99,99,99,99
ShannonsRainbow,Shannon's Rainbow,0,99,3,99,99,99,99
TheAdventuresOfBaronMunchausen,The Adventures of Baron Munchausen,0,5,1,99,99,99,99
TheGoldenBowl,The Golden Bowl,0,1,3,99,99,99,99
TheGreatRaid,The Great Raid,0,1,3,99,99,99,99
ThurmanUma,Uma Thurman,1,99,99,1,2,7,3
WallStreet,Wall Street,0,5,1,99,99,99,99
YoungSean,Sean Young,1,99,99,1,1,7,2
